Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2020,07,27,5559.94,5450.47,5297.62,5204.53,5123.95,5099.72,5047.92,5022.47,5089.33,5163.11,5309.94,5557.38,5819,6286.47,6709.68,6990.47,6826.28,6513.32,6107.39,5844.37,5605.96,5534.18,5472.04,5534.28,5445.73,5249.63,5241.91,5330.24,5442.51,5705.58,5819.57,6031.27,6334.59,6577.44,6971.34,7369.73,7708.27,7790.39,7824.72,7633,7517.9,7390.4,7189.93,6962.19,6680.95,6508.91,6224.6,6012.29
2020,07,28,5738.11,5598.7,5397.17,5299.34,5203.81,5177.34,5111.75,5123.29,5160.08,5240.17,5414.06,5620.88,5938.97,6421.19,6851.37,7135,6996.34,6518.05,6118.9,5721.17,5461.19,5216.41,5011.04,4834.75,4753.39,4738.27,4741.3,4792.93,4850.96,5034.93,5237.68,5453.49,5781.33,6101.18,6536.35,6963.93,7299.82,7508.84,7595.77,7477.13,7443.34,7371.07,7181.7,6955.57,6716.26,6520.59,6290.73,6047.71
2020,07,29,5764.73,5605.27,5437.09,5332.89,5256,5216.17,5151.34,5198.62,5184.25,5306,5430.92,5662.41,5998.25,6491.4,6953.53,7249.78,7126.01,6684.97,6195.66,5773.28,5444.39,5138.12,4959.65,4790.13,4686.85,4742.22,4798.16,4862.88,4972.97,5105.34,5306.9,5506.42,5812.61,6147.15,6547.1,6894.85,7213.27,7375.57,7480.43,7347.94,7280.02,7166.9,7070.05,6827.64,6604.67,6449.02,6246.41,6001.95
2020,07,30,5798.39,5613.38,5417.34,5359.76,5280.06,5260.96,5232.69,5197.86,5242.45,5311.16,5456.29,5740.98,5972.71,6387.21,6784.76,7039.45,6840.94,6388.91,5975.78,5555.48,5244.65,5011.09,4818.71,4719.43,4659.7,4678.24,4665.33,4760.47,4915.56,5108.47,5283.66,5477.83,5781.64,6104.91,6514.45,6801.24,7164.98,7283.99,7309.09,7258.77,7174.95,7099.12,6898.46,6699.03,6481.62,6343.47,6153.99,5928.7
2020,07,31,5768.91,5485.91,5321.93,5230.61,5124.27,5115.2,5072.2,5053.26,5068.12,5150.45,5257.2,5542,5818.29,6249.39,6704.91,6846.17,6710.18,6305.52,5897.11,5544.48,5275.94,4990.6,4800.74,4707.43,4657.03,4733.54,4667.33,4714.78,4789.46,4921.79,5084.61,5298.83,5663.79,6000.17,6402.41,6681.37,6894.84,6970.74,7108.31,6954.11,6936.82,6828.44,6655.12,6535.65,6353.01,6293.68,6114.07,5854.32
2020,08,01,5467.42,5316.01,5188.57,5103.02,5052.07,5012.55,5028.68,5013.47,5042.84,5084.58,5177.63,5287.8,5472.95,5670.28,5810.13,5705.94,5630.85,5517.39,5244.92,5080.92,4916.53,4796.58,4790.42,4734.84,4688.65,4751.91,4814.21,4785.74,4859.35,5026.13,5098.9,5347.15,5691.58,6052.31,6361.14,6644.98,6739.41,6798.01,6643.54,6646.45,6579.44,6424.63,6319.51,6162.29,6113.43,5997.04,5815.47,
2020,08,02,5579.43,5431.73,5284.85,5167.81,5087.96,5062.6,4988.36,4975.61,4972.97,5004.25,5053.29,5080.26,5142.31,5248.19,5434.54,5544.21,5474.86,5336.57,5146.06,5017.32,4761.6,4575.89,4497.07,4387.7,4295.42,4241.43,4275.74,4353.48,4419.1,4535.77,4757.03,4971.54,5293.8,5653.77,6012.5,6454.51,6753.23,6893.57,6954.94,6808.81,6700.92,6605.36,6446.49,6305.91,6113.12,6001.83,5899.83,5681.53
2020,08,03,5446.13,5287.39,5146.09,5041.45,4997.84,4967.67,4932.51,4938.46,4930.59,5051.71,5198.48,5409.92,5663.23,6097.32,6482.01,6776.33,6643.73,6409.71,6109.52,5876.9,5703.38,5574.67,5469.29,5344.11,5326.83,5350.16,5293.46,5316.9,5377.56,5477.27,5556.69,5678.01,5962.04,6215.51,6529.51,6870.1,7203.57,7359.17,7393.91,7211.95,7161.92,7021.62,6839.91,6642.89,6420.61,6215.57,6023.85,5818.45
2020,08,04,5649.32,5473.62,5304.64,5201.35,5114.36,5052.83,4986.62,5022.23,5010.12,5087.81,5217.13,5493.73,5760.21,6172.92,6514.03,6782.17,6717.9,6407.45,6163.17,5944.69,5675.05,5476.33,5235.08,4947.65,4873.11,4904.9,4928.48,5121.91,5146.55,5245.34,5352.52,5521.66,5831.36,6087.31,6472.3,6794.52,7134.62,7306.23,7334.68,7217.2,7199.61,7038.79,6815.86,6635.89,6394.85,6224.23,6056.02,5839.53
2020,08,05,5616.91,5411.28,5261.57,5121.98,5072.76,5046.12,5000.23,4974.15,5003.43,5095.19,5259.11,5517.95,5773.24,6188.74,6574.63,6824.51,6589,6272.48,5872.25,5497.04,5212.2,4997.4,4804.93,4658.06,4609.61,4644.16,4674.01,4739.85,4958.67,5173.85,5291.44,5449.05,5740.63,5979.4,6395.87,6743.27,6992.33,7092.61,7084.58,6939.67,6911.98,6795.07,6590.06,6432.08,6208.3,6078.26,5910.58,5707.28
